created_at,entry_id,Temperature,RH,PM2.5,PM10
2025-01-01 17:30:22 +0530,55,,,54.5,130.4
2025-01-01 17:30:46 +0530,56,,,55.9,133.6
2025-01-01 17:31:08 +0530,57,,,56.8,137.2
2025-01-01 17:31:31 +0530,58,,,55.4,128.2
2025-01-01 17:31:53 +0530,59,,,55.9,124.7
2025-01-01 17:32:16 +0530,60,,,55.7,121.7
2025-01-01 17:32:39 +0530,61,,,54.7,125.6
2025-01-01 17:33:01 +0530,62,,,55.0,123.7
2025-01-01 17:33:24 +0530,63,,,54.7,119.0
2025-01-01 17:33:47 +0530,64,,,53.6,119.6
2025-01-01 17:34:11 +0530,65,,,56.3,125.7
2025-01-01 17:34:34 +0530,66,,,57.0,132.6
2025-01-01 17:34:57 +0530,67,,,59.4,139.7
2025-01-01 17:35:19 +0530,68,,,55.6,132.2
2025-01-01 17:35:42 +0530,69,,,54.7,122.5
2025-01-01 17:36:05 +0530,70,,,55.3,124.6
2025-01-01 17:36:27 +0530,71,,,55.1,131.3
2025-01-01 17:36:50 +0530,72,,,56.8,130.3
2025-01-01 17:37:59 +0530,73,,,55.0,133.8
2025-01-01 17:38:22 +0530,74,,,56.5,132.2
2025-01-01 17:38:45 +0530,75,,,55.5,131.3
2025-01-01 17:39:08 +0530,76,,,54.0,120.0
2025-01-01 17:39:30 +0530,77,,,55.1,131.3
2025-01-01 17:39:53 +0530,78,,,54.9,128.4
2025-01-01 17:40:16 +0530,79,,,54.8,118.7
2025-01-01 17:40:38 +0530,80,,,54.6,115.8
2025-01-01 17:41:00 +0530,81,,,55.8,121.7
2025-01-01 17:41:23 +0530,82,,,56.5,129.2
2025-01-01 17:41:45 +0530,83,,,55.5,126.5
2025-01-01 17:42:08 +0530,84,,,56.6,127.5
2025-01-01 17:42:31 +0530,85,,,54.2,132.2
2025-01-01 17:42:53 +0530,86,,,54.5,140.2
2025-01-01 17:43:16 +0530,87,,,54.9,129.0
2025-01-01 17:43:38 +0530,88,,,56.1,132.3
2025-01-01 17:44:01 +0530,89,,,55.5,131.1
2025-01-01 17:44:23 +0530,90,,,57.6,136.3
2025-01-01 17:44:46 +0530,91,,,55.3,125.1
2025-01-01 17:45:09 +0530,92,,,55.7,123.5
2025-01-01 17:45:31 +0530,93,,,53.5,121.1
2025-01-01 17:45:54 +0530,94,,,56.6,123.5
2025-01-01 17:46:16 +0530,95,,,53.6,121.1
2025-01-01 17:46:39 +0530,96,,,54.3,121.0
2025-01-01 17:47:01 +0530,97,,,55.9,121.6
2025-01-01 17:47:24 +0530,98,,,55.6,127.5
2025-01-01 17:47:47 +0530,99,,,55.4,123.7
2025-01-01 17:48:09 +0530,100,,,56.9,126.8
2025-01-01 17:48:32 +0530,101,,,55.5,124.6
2025-01-01 17:48:54 +0530,102,,,55.3,134.0
2025-01-01 17:49:17 +0530,103,,,55.0,123.4
2025-01-01 17:49:39 +0530,104,,,54.1,126.0
2025-01-01 17:50:02 +0530,105,,,53.7,123.7
2025-01-01 17:50:24 +0530,106,,,54.3,120.1
2025-01-01 17:50:47 +0530,107,,,55.6,119.1
2025-01-01 17:51:10 +0530,108,,,55.4,124.1
2025-01-01 17:51:34 +0530,109,,,54.7,123.4
2025-01-01 17:51:57 +0530,110,,,54.3,117.8
2025-01-01 17:52:20 +0530,111,,,54.3,122.9
2025-01-01 17:52:42 +0530,112,,,55.3,122.0
2025-01-01 17:53:05 +0530,113,,,55.1,119.6
2025-01-01 17:53:28 +0530,114,,,54.6,119.8
2025-01-01 17:53:51 +0530,115,,,55.3,123.5
2025-01-01 17:54:14 +0530,116,,,53.4,124.5
2025-01-01 17:54:37 +0530,117,,,54.8,113.9
2025-01-01 17:55:00 +0530,118,,,54.8,119.5
2025-01-01 17:55:22 +0530,119,,,52.8,114.3
2025-01-01 17:55:45 +0530,120,,,53.0,109.9
2025-01-01 17:56:07 +0530,121,,,53.3,116.9
2025-01-01 17:56:30 +0530,122,,,54.0,117.8
2025-01-01 17:56:52 +0530,123,,,55.7,114.9
2025-01-01 17:57:15 +0530,124,,,54.8,112.1
2025-01-01 17:57:37 +0530,125,,,53.9,115.8
2025-01-01 17:58:00 +0530,126,,,52.5,113.2
2025-01-01 17:58:23 +0530,127,,,54.1,111.2
2025-01-01 17:58:45 +0530,128,,,53.9,115.1
2025-01-01 17:59:08 +0530,129,,,54.4,116.5
2025-01-01 17:59:30 +0530,130,,,53.9,113.1
2025-01-01 17:59:53 +0530,131,,,54.4,114.4
2025-01-01 18:00:16 +0530,132,,,56.1,111.6
2025-01-01 18:00:39 +0530,133,,,55.3,119.0
2025-01-01 18:01:02 +0530,134,,,54.3,122.7
