created_at,entry_id,Temperature,RH,PM2.5,PM10
2025-01-01 17:30:04 +0530,36,,,52.5,146.5
2025-01-01 17:30:29 +0530,37,,,52.9,145.8
2025-01-01 17:30:52 +0530,38,,,53.2,153.7
2025-01-01 17:31:14 +0530,39,,,52.6,139.8
2025-01-01 17:31:37 +0530,40,,,53.9,147.0
2025-01-01 17:32:02 +0530,41,,,52.1,148.2
2025-01-01 17:32:24 +0530,42,,,53.3,151.1
2025-01-01 17:32:47 +0530,43,,,54.0,154.7
2025-01-01 17:33:10 +0530,44,,,52.6,152.4
2025-01-01 17:33:34 +0530,45,,,53.4,159.4
2025-01-01 17:33:58 +0530,46,,,53.2,164.9
2025-01-01 17:34:21 +0530,47,,,53.7,158.4
2025-01-01 17:34:44 +0530,48,,,54.7,157.7
2025-01-01 17:35:06 +0530,49,,,54.8,149.7
2025-01-01 17:35:29 +0530,50,,,53.2,144.0
2025-01-01 17:35:51 +0530,51,,,52.4,157.7
2025-01-01 17:36:23 +0530,52,,,55.0,160.9
2025-01-01 17:36:49 +0530,53,,,54.5,157.6
2025-01-01 17:38:01 +0530,54,,,53.8,156.2
2025-01-01 17:38:24 +0530,55,,,53.0,153.7
2025-01-01 17:38:47 +0530,56,,,53.6,156.7
2025-01-01 17:39:09 +0530,57,,,52.6,143.3
2025-01-01 17:39:32 +0530,58,,,53.5,146.0
2025-01-01 17:39:54 +0530,59,,,53.2,152.0
2025-01-01 17:40:17 +0530,60,,,53.5,155.0
2025-01-01 17:40:39 +0530,61,,,52.6,150.2
2025-01-01 17:41:02 +0530,62,,,51.2,140.4
2025-01-01 17:41:24 +0530,63,,,53.4,149.2
2025-01-01 17:41:47 +0530,64,,,53.1,148.1
2025-01-01 17:42:09 +0530,65,,,53.0,143.9
2025-01-01 17:42:32 +0530,66,,,54.0,152.5
2025-01-01 17:42:54 +0530,67,,,53.2,149.1
2025-01-01 17:43:17 +0530,68,,,53.8,155.5
2025-01-01 17:43:39 +0530,69,,,52.7,145.6
2025-01-01 17:44:02 +0530,70,,,52.9,145.4
2025-01-01 17:44:25 +0530,71,,,52.6,151.7
2025-01-01 17:44:47 +0530,72,,,52.6,153.7
2025-01-01 17:45:10 +0530,73,,,52.6,148.3
2025-01-01 17:45:33 +0530,74,,,53.7,149.0
2025-01-01 17:45:55 +0530,75,,,53.4,151.4
2025-01-01 17:46:18 +0530,76,,,50.6,134.0
2025-01-01 17:46:40 +0530,77,,,50.3,138.1
2025-01-01 17:47:03 +0530,78,,,51.9,144.6
2025-01-01 17:47:25 +0530,79,,,53.3,139.4
2025-01-01 17:47:48 +0530,80,,,52.3,137.5
